Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2022-01-14,The White Ribbon,2009,37903,Das weiße Band - Eine deutsche Kindergeschichte,tt1149362,de,"Strange events happen in a small village in the north of Germany during the years just before World War I, which seem to be ritual punishment. The abused and suppressed children of the villagers seem to be at the heart of this mystery.",11.432,21555450,"Drama, Mystery",http://www.sonyclassics.com/thewhiteribbon/,2009-09-24,11652157,144,"de, it, la, pl",7.506,851,"X Filme Creative Pool, Les Films du Losange, wega film vienna, Lucky Red","AT, CA, FR, DE, IT","German, Italian, Latin, Polish"
2022-01-14,"Synecdoche, New York",2008,4960,"Synecdoche, New York",tt0383028,en,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",14.175,20000000,Drama,http://www.sonyclassics.com/synecdocheny,2008-10-24,4383538,124,"en, de",7.7,1153,"Likely Story, Projective Testing Service",US,"English, German"
2022-02-08,Dragged Across Concrete,2018,438674,Dragged Across Concrete,tt6491178,en,"Two policemen, one an old-timer, the other his volatile younger partner, find themselves suspended when a video of their strong-arm tactics becomes the media's cause du jour. Low on cash and with no other options, these two embittered soldiers descend into the criminal underworld to gain their just due, but instead find far more than they wanted awaiting them in the shadows.",16.165,15000000,"Crime, Action, Thriller",,2018-09-03,660132,159,"en, es",6.569,764,"Unified Pictures, The Fyzz, Look to the Sky Films, Cinestate, Moot Point (Dragged) Productions, Realmbuilders Productions, Victory Square Technologies","CA, US","English, Spanish"
2022-02-09,Red Rocket,2021,763329,Red Rocket,tt13453006,en,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.",14.395,1100000,"Comedy, Drama",http://redrocket.movie,2021-12-10,2200000,130,en,6.773,238,"FilmNation Entertainment, Cre Film",US,English
2022-02-22,Arsenal,1929,0,0,,,,,,,,,,,,,,,,
2022-02-22,Can Dialectics Break Bricks?,1973,31343,La dialectique peut-elle casser des briques ?,,,,,,,,,,,,,,,,
2022-02-23,Men and Women,1964,195450,Noite Vazia,tt0189814,pt,"Two friends take two prostitutes for a night of pleasure. But the night turns out to be frustrating for all involved, as much bitterness is revealed in their conversation and attitudes, uncovering their anguish and deeper feelings, and the emptiness of their lives.",1.255,0,Drama,,1964-06-19,0,93,pt,7.2,20,"Companhia Cinematográfica Vera Cruz, Kamera Filmes",BR,Portuguese
2022-03-02,Angel Heart,1987,635,Angel Heart,tt0092563,en,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",12.39,17000000,"Horror, Mystery",http://alanparker.com/film/angel-heart/,1987-03-06,17186348,113,"en, fr",7.109,1222,"Carolco Pictures, TriStar Pictures, Winkast Film Productions, Union","CA, GB, US","English, French"
2022-03-20,The Lighthouse,2019,503919,The Lighthouse,tt7984734,en,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,22.187,11000000,"Drama, Fantasy, Thriller, Horror",https://a24films.com/films/the-lighthouse,2019-10-18,18123239,109,en,7.528,3754,"Parts and Labor, New Regency Pictures, RT Features, A24, Maiden Voyage Pictures","BR, CA, US",English
2022-03-21,Farewell to the Ark,1984,104292,さらば箱舟,tt0088041,ja,"A surreal, isolated village sees its inhabitants gradually leave behind their mutual traditions and superstitions as they leave for the city. Among them are two cousins who love each other and who get into a quarrel with other villagers.",2.868,0,"Fantasy, Mystery, Romance",,1984-09-08,0,127,ja,7.0,16,Art Theatre Guild,JP,Japanese
