nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm0070436,Steve Bendelack,\N,\N,"director,miscellaneous,art_department","tt0086807,tt1844923,tt0453451,tt10601438",nm0070436
nm0073688,Alec Berg,\N,\N,"producer,writer,miscellaneous","tt5348176,tt0312528,tt0264235,tt2575988",nm0073688
nm0074426,Bibo Bergeron,\N,\N,"art_department,animation_department,director","tt0138749,tt0307453,tt0961097,tt0424095",nm0074426
nm0075849,Shari Springer Berman,1963,\N,"director,writer,producer","tt10962368,tt0158831,tt0489237,tt0305206",nm0075849
nm0082366,Anna Biller,\N,\N,"director,writer,costume_designer","tt3908142,tt0331366,tt0331355,tt0393956",nm0082366
nm0082450,Paul Feig,1962,\N,"producer,actor,director","tt0193676,tt2404463,tt0110006,tt3079380",nm0082450
nm0083348,Brad Bird,1957,\N,"miscellaneous,writer,director","tt0129167,tt0382932,tt0317705,tt3606756",nm0083348
nm0084502,Fabrício Bittar,1980,\N,"director,producer,actor","tt6791886,tt11216740,tt14623808,tt8753660",nm0084502
nm0086301,Macon Blair,\N,\N,"actor,writer,producer","tt2359024,tt4062536,tt0878695,tt1800302",nm0086301
nm0088955,Neill Blomkamp,1979,\N,"director,writer,visual_effects","tt1823672,tt1136608,tt1535108,tt13392012",nm0088955
nm0093051,Uwe Boll,1965,\N,"producer,director,writer","tt0460780,tt0383222,tt0486640,tt0369226",nm0093051
nm0094435,Bong Joon Ho,1969,\N,"writer,producer,director","tt1216496,tt6751668,tt3967856,tt1706620",nm0094435
nm0095298,André Bonzel,1961,\N,"cinematographer,director,camera_department","tt8122738,tt0103905,tt0351540,tt2084981",nm0095298
nm0095321,Robert Boocheck,1976,\N,"director,writer,actor","tt2264774,tt0823650,tt5861630,tt2926810",nm0095321
nm0101047,David Bowers,\N,\N,"animation_department,director,writer","tt1650043,tt2023453,tt0424095,tt0375568",nm0101047
nm0101385,Rob Bowman,1960,\N,"producer,director,actor","tt0253556,tt0106179,tt0357277,tt0120902",nm0101385
nm0105169,Ash Brannon,1969,\N,"writer,producer,animation_department","tt0097757,tt0120363,tt0423294,tt11126994",nm0105169
nm0107774,Eric Bress,\N,\N,"writer,producer,director","tt0289879,tt6508228,tt1144884,tt0309593",nm0107774
nm0107788,Júlio Bressane,1946,\N,"director,writer,producer","tt0182478,tt0368726,tt14763720,tt3102382",nm0107788
nm0109359,Steven Brill,1962,\N,"writer,actor,producer","tt0104868,tt9036126,tt0185431,tt0110006",nm0109359
nm0116497,John Bruno,\N,\N,"animation_department,art_department,visual_effects","tt0103064,tt0499549,tt0120338,tt0096754",nm0116497
nm0118333,Chris Buck,1958,\N,"animation_department,director,writer","tt2294629,tt4520988,tt0423294,tt0114148",nm0118333
nm0126096,James Ward Byrkit,\N,\N,"director,writer,art_department","tt3890160,tt1192628,tt3387542,tt2866360",nm0126096
nm0127373,Louis C.K.,1967,\N,"writer,producer,actor","tt3203606,tt1492966,tt1800241,tt5425186",nm0127373
